Date,Open,High,Low,Close,Adj Close,Volume,Day
2021-03-22,24.879999,25.17,24.16,24.82,23.874578,1318800,504
2021-03-23,24.58,24.690001,22.940001,23.030001,22.152763,1438800,505
2021-03-24,23.27,23.610001,23,23.040001,22.162384,1078900,506
2021-03-25,22.719999,24.01,22.58,23.870001,22.96077,700900,507
2021-03-26,24.110001,24.360001,23.4,23.91,22.999243,462700,508
2021-03-29,24.059999,24.16,23.290001,23.629999,22.729908,848500,509
2021-03-30,23.620001,23.93,23.49,23.82,22.912672,780700,510
2021-03-31,23.73,24.08,23.73,23.91,22.999243,426100,511
2021-04-01,24.190001,24.27,23.65,23.690001,22.787624,567300,512
2021-04-05,24.1,24.285,23.68,24.219999,23.297436,621700,513
2021-04-06,24.17,24.549999,23.959999,24.120001,23.201244,1249300,514
2021-04-07,24.48,24.780001,24.309999,24.459999,23.528292,1122600,515
2021-04-08,24.6,25.24,24.02,25.02,24.066963,4188000,516
2021-04-09,26.889999,27.299999,25.379999,25.67,24.692204,10136000,517
2021-04-12,25.68,26.52,25.620001,26.469999,25.461731,2677300,518
2021-04-13,26.540001,26.84,25.9,26.74,25.721445,2359700,519
2021-04-14,26.700001,27.700001,26.65,27.23,26.192783,2212600,520
2021-04-15,27.33,27.73,26.870001,27.58,26.529449,1931100,521
2021-04-16,27.74,29.16,27.700001,29.030001,27.924217,2201100,522
2021-04-19,29.049999,29.280001,28.139999,28.27,27.193163,1730900,523
2021-04-20,28.33,28.93,27.93,28.91,27.808784,1784400,524
2021-04-21,29,29.299999,28.68,29.07,27.962692,2205600,525
2021-04-22,29.469999,29.469999,28.76,28.92,27.818405,1224000,526
2021-04-23,29.110001,29.780001,28.91,29.559999,28.434027,1659600,527
2021-04-26,29.299999,29.735001,28.629999,28.950001,27.847261,1513300,528
2021-04-27,29.5,30.049999,29,29.77,28.63603,1296600,529
2021-04-28,29.639999,29.99,29.25,29.469999,28.347456,1797100,530
2021-04-29,29.75,29.780001,29.030001,29.09,27.981932,1085400,531
2021-04-30,29,29.379999,28.6,28.860001,27.760693,1003500,532
2021-05-03,29.07,30.48,28.934999,30.48,29.318985,5125000,533
2021-05-04,30.4,30.84,29.76,30.1,28.953461,1930300,534
